,SchoolNamePublicSchool201415,SchoolTypePublicSchool201415,MagnetSchoolPublicSchool201415,CharterSchoolPublicSchool201415,TitleIEligibleSchoolPublicSchool201415,LatitudePublicSchool201415,LongitudePublicSchool201415,TotalStudentsAllGradesExcludesAEPublicSchool201415,StudentTeacherRatio,Reduced Lunch,Free Lunch,Percent Lunch
259,Mitchell High,1,0,0,1,35.97236,-82.118481,551,13.03,50.0,205.0,0.46279491833
260,Monroe High,1,0,0,1,34.97392,-80.5268,1009,14.4,74.0,764.0,0.830525272547
261,Mooresville Senior High,1,0,0,0,35.577956,-80.801473,1787,22.76,123.0,423.0,0.305540011192
262,Mount Airy High,1,0,0,1,36.514304,-80.61531,534,13.52,21.0,195.0,0.404494382022
263,Mount Pleasant High,1,0,0,1,35.40782,-80.48236,831,14.89,51.0,598.0,0.780986762936
264,Mount Tabor High School,1,0,0,1,36.126906,-80.313483,1532,18.89,52.0,545.0,0.389686684073
265,Mountain Heritage High,1,0,0,1,35.907987,-82.333572,671,12.37,76.0,229.0,0.454545454545
266,Murphy High,1,0,0,1,35.100517,-84.01637,449,14.7,52.0,200.0,0.561247216036
267,Myers Park High,1,0,0,0,35.170784,-80.833367,2762,19.05,51.0,798.0,0.307385952209
268,Nantahala School,1,0,0,1,35.253472,-83.634187,96,7.17,20.0,54.0,0.770833333333
269,Nash Central High,1,0,0,1,35.955821,-77.898118,1039,17.97,87.0,535.0,0.598652550529
270,Needham Broughton High,1,1,0,1,35.79033,-78.652312,2112,16.65,79.0,682.0,0.360321969697
271,Neuse Charter School,1,0,1,1,35.530712,-78.320942,764,13.82,195.0,0.0,0.255235602094
