,StateNamePublicSchoolLatestavailableyear,SchoolNamePublicSchool201415,LocationAddress1PublicSchool201415,LocationCityPublicSchool201415,LocationZIPPublicSchool201415,SchoolTypePublicSchool201415,MagnetSchoolPublicSchool201415,CharterSchoolPublicSchool201415,TitleIEligibleSchoolPublicSchool201415,TitleISchoolStatusPublicSchool201415,LatitudePublicSchool201415,LongitudePublicSchool201415,LowestGradeOfferedPublicSchool201415,HighestGradeOfferedPublicSchool201415,Grade12offeredPublicSchool201415,Grade11offeredPublicSchool201415,Grade10offeredPublicSchool201415,Grade9offeredPublicSchool201415,TotalStudentsAllGradesExcludesAEPublicSchool201415,Grades912StudentsPublicSchool201415,StudentTeacherRatio,Biology,District,English,Math
79,North Carolina,Craven Early College High,800 COLLEGE COURT,NEW BERN,28562,1,0,0,1,4-Eligible for Title I SWP provides no program,35.111602,-77.102325,9th Grade,13th Grade,1,1,1,1,205,178,16.24,71.7,Southeast,80.0,67.3
80,North Carolina,Crest High,800 OLD BOILING SPRINGS,SHELBY,28152,1,0,0,1,4-Eligible for Title I SWP provides no program,35.271571,-81.609854,9th Grade,12th Grade,1,1,1,1,1260,1260,15.01,50.5,Southwest,58.3,52.5
81,North Carolina,Creswell High,115 WEST MIDDLE STREET,CRESWELL,27928,1,0,0,1,5-Eligible for Title I SWP provides SWP program,35.868941,-76.395907,7th Grade,12th Grade,1,1,1,1,155,100,9.69,41.2,Northeast,43.8,45.0
82,North Carolina,Croatan High,1 COUGAR LANE,NEWPORT,28570,1,0,0,0,6-Not eligible for either TAS or SWP,34.748000,-76.895490,9th Grade,12th Grade,1,1,1,1,904,904,15.69,81.4,Southeast,84.5,81.4
83,North Carolina,Cross Creek Early College,1200 MURCHISON ROAD,FAYETTEVILLE,28301,1,0,0,1,4-Eligible for Title I SWP provides no program,35.070959,-78.893585,9th Grade,12th Grade,1,1,1,1,247,247,16.47,83.3,Sandhills,84.3,83.1
84,North Carolina,Williams Academy,129 ALLEN CIRCLE,CROSSNORE,28616,1,0,1,1,5-Eligible for Title I SWP provides SWP program,36.021600,-81.929700,Kindergarten,12th Grade,1,1,1,1,104,43,6.94,23.1,Northwest,50.0,5.0
85,North Carolina,Crossroads Charter High,5500 N TRYON STEET,CHARLOTTE,28213,1,0,1,1,5-Eligible for Title I SWP provides SWP program,35.261163,-80.773678,9th Grade,12th Grade,1,1,1,1,182,182,587.10,15.9,Southwest,21.9,20.5
86,North Carolina,CS Brown High,102 CSB DR,WINTON,27986,1,0,0,1,5-Eligible for Title I SWP provides SWP program,36.387550,-76.933100,9th Grade,12th Grade,1,1,1,1,43,43,7.17,94.1,Northeast,63.2,39.1
87,North Carolina,Cumberland International Early CollegeHS,1200 MURCHISON RD,FAYETTEVILLE,28303,1,0,0,1,4-Eligible for Title I SWP provides no program,35.071595,-78.894515,9th Grade,12th Grade,1,1,1,1,234,234,18.00,82.8,Sandhills,92.2,87.0
88,North Carolina,Currituck County High,4203 CARATOKE HWY,BARCO,27917,1,0,0,0,6-Not eligible for either TAS or SWP,36.372527,-75.969111,9th Grade,12th Grade,1,1,1,1,972,972,14.62,44.7,Northeast,46.2,47.1
89,North Carolina,Cuthbertson High,1400 CUTHBERTSON RD,WAXHAW,28173,1,0,0,0,6-Not eligible for either TAS or SWP,34.975950,-80.740031,9th Grade,12th Grade,1,1,1,1,1449,1449,20.81,81.2,Southwest,88.5,88.8
90,North Carolina,D H Conley High,2006 WORTHINGTON RD,GREENVILLE,27858,1,0,0,0,6-Not eligible for either TAS or SWP,35.530585,-77.324777,9th Grade,12th Grade,1,1,1,1,1644,1644,18.46,59.0,Northeast,60.0,60.9
