,SchoolNamePublicSchool201415,SchoolTypePublicSchool201415,MagnetSchoolPublicSchool201415,CharterSchoolPublicSchool201415,TitleIEligibleSchoolPublicSchool201415,LatitudePublicSchool201415,LongitudePublicSchool201415,Grade12offeredPublicSchool201415,Grade11offeredPublicSchool201415,Grade10offeredPublicSchool201415,Grade9offeredPublicSchool201415,TotalStudentsAllGradesExcludesAEPublicSchool201415,StudentTeacherRatio
250,McDowell High,1,0,0,1,35.695914,-82.034970,1,1,1,1,1680,16.08
251,Military and Global Leadership Academy,1,1,0,1,35.202326,-80.876847,1,1,1,1,642,12.75
252,Middle College at GTCC-GSO,1,0,0,1,36.087797,-79.731589,1,1,1,1,137,15.01
253,Middle College GTCC High Point,1,0,0,1,35.946413,-80.002784,1,1,1,1,127,12.54
254,Middle College High @ NC A&T,1,0,0,1,36.076734,-79.770181,1,1,1,1,106,7.64
255,Middle College High at Bennett,1,0,0,1,36.066350,-79.780411,1,1,1,1,115,11.15
256,Middle Creek High,1,0,0,0,35.667342,-78.760262,1,1,1,1,2249,18.74
257,Midway High,1,0,0,1,35.175373,-78.478913,1,1,1,1,715,15.56
258,Millbrook High,1,1,0,0,35.865800,-78.603069,1,1,1,1,2571,17.73
259,Mitchell High,1,0,0,1,35.972360,-82.118481,1,1,1,1,551,13.03
260,Monroe High,1,0,0,1,34.973920,-80.526800,1,1,1,1,1009,14.40
261,Mooresville Senior High,1,0,0,0,35.577956,-80.801473,1,1,1,1,1787,22.76
262,Mount Airy High,1,0,0,1,36.514304,-80.615310,1,1,1,1,534,13.52
263,Mount Pleasant High,1,0,0,1,35.407820,-80.482360,1,1,1,1,831,14.89
264,Mount Tabor High School,1,0,0,1,36.126906,-80.313483,1,1,1,1,1532,18.89
265,Mountain Heritage High,1,0,0,1,35.907987,-82.333572,1,1,1,1,671,12.37
266,Murphy High,1,0,0,1,35.100517,-84.016370,1,1,1,1,449,14.70
267,Myers Park High,1,0,0,0,35.170784,-80.833367,1,1,1,1,2762,19.05
268,Nantahala School,1,0,0,1,35.253472,-83.634187,1,1,1,1,96,7.17
269,Nash Central High,1,0,0,1,35.955821,-77.898118,1,1,1,1,1039,17.97
270,Needham Broughton High,1,1,0,1,35.790330,-78.652312,1,1,1,1,2112,16.65
271,Neuse Charter School,1,0,1,1,35.530712,-78.320942,1,1,1,1,764,13.82
272,New Bern High,1,0,0,1,35.100523,-77.115501,1,1,1,1,1697,16.97
273,New Hanover High,1,0,0,1,34.237374,-77.932373,1,1,1,1,1695,16.15
274,Newton-Conover High,1,0,0,1,35.678480,-81.225066,1,1,1,1,811,15.06
275,North Brunswick High,1,0,0,1,34.240530,-78.024524,1,1,1,1,1048,15.63
