School Name,State Name [Public School] Latest available year,Pupil/Teacher Ratio [Public School] 2014-15
WOODLAWN MIDDLE,North Carolina,16.11
WOODLEAF ELEMENTARY,North Carolina,14.10
WOODROW WILSON ELEMENTARY,North Carolina,12.66
WOODS CHARTER,North Carolina,11.44
WRIGHTSBORO ELEMENTARY,North Carolina,15.88
WRIGHTSVILLE BEACH ELEM,North Carolina,16.54
Y E SMITH ELEMENTARY,North Carolina,13.79
YADKIN EARLY COLLEGE,North Carolina,27.99
YADKIN SUCCESS ACADEMY,North Carolina,5.44
YADKIN VALLEY REGIONAL CAREER ACADEMY,North Carolina,15.53
YADKINVILLE ELEMENTARY,North Carolina,14.08
YATES MILL ELEMENTARY,North Carolina,13.93
YORK CHESTER MIDDLE,North Carolina,13.19
YORK ELEMENTARY,North Carolina,13.37
YOUNGSVILLE ACADEMY,NORTH CAROLINA,†
YOUNGSVILLE ELEMENTARY,North Carolina,14.64
Z.E.C.A. SCHOOL OF ARTS AND TECHNOLOGY,North Carolina,12.60
ZEB VANCE ELEMENTARY,North Carolina,11.90
ZEBULON ELEMENTARY,North Carolina,12.78
ZEBULON MIDDLE,North Carolina,13.24
